No,Sector,1 depth,2 depth,3 depth,4 depth,스토리보드 번호,설명,콘텐츠/데이터,링크/버튼/액션,코멘트
1,공통,상단 네비게이션,,,,[STD-01 상단 네비게이션],전역 네비게이션 바,"로고, 메뉴(탐색, 오픈 프로젝트, 인사이트), 검색바, 채팅 아이콘(미확인 배지), 프로필 이미지/로그인 버튼, 사용자별 CTA 버튼","로고 클릭→[2-1 메인] 이동, 탐색 클릭→[3-1 탐색] 이동, 오픈 프로젝트 클릭→[4-1 오픈 프로젝트] 이동, 인사이트 클릭→[5-1 인사이트] 이동, 채팅 아이콘 클릭→채팅 모달 노출, 프로필 클릭→팝오버 노출, 로그인 버튼 클릭→[1-2-1 로그인] 이동, IPH CTA 클릭→[6-1 캐릭터 등록] 이동, BP CTA 클릭→[7-1 프로젝트 등록] 이동, 비회원 CTA 클릭→[1-1-1 회원가입] 이동",
2,,,검색바 확장,,,[STD-01-1 검색바 확장],검색어 입력 시 노출되는 확장 영역,"최근 검색어(최대 10개, 최신순), 추천 검색어(최대 5개, 인기 기반), 인기 태그(최대 5개)","최근/추천 검색어 클릭→해당 키워드로 검색 실행→[3-1 탐색] 이동, X 버튼→개별 삭제, Enter/검색 버튼→[3-1 탐색] 이동",
3,,,프로필 팝오버,,,[STD-01-2 프로필 팝오버],프로필 클릭 시 노출되는 팝오버,"프로필 이미지, 닉네임/기업명, 요금제 정보(Basic/Pro/Business), 메뉴 아이템(내 프로필, 마이부스, 내 통계, 설정, 로그아웃)","내 프로필 클릭→[9-1 프로필 관리] 이동, 마이부스 클릭→[9-7 마이부스] 이동, 내 통계 클릭→[9-8 내 통계] 이동, 설정 클릭→[9-2 설정] 이동, 로그아웃 클릭→로그아웃 처리→[2-1 메인] 이동, 요금제 클릭→[9-4 요금제 관리] 이동",
4,,푸터,,,,[STD-02 푸터],전역 푸터 영역,"로고, 이용약관, 개인정보처리방침, FAQ, 업데이트 노트, 회사소개, 채용공고, SNS 아이콘(인스타그램, 링크드인, 블로그), 언어 변경(한국어/English/日本語), 고객센터 메일주소","로고 클릭→[2-1 메인] 이동, 이용약관 클릭→이용약관 페이지 이동, 개인정보처리방침 클릭→정책 페이지 이동, FAQ 클릭→FAQ 페이지 이동, 업데이트 노트 클릭→업데이트 페이지 이동, 회사소개 클릭→회사소개 페이지 이동, 채용공고 클릭→채용 페이지 이동, SNS 아이콘 클릭→해당 채널 새 탭 이동, 언어 변경 클릭→언어 즉시 변경, 메일주소 클릭→메일 앱 실행(mailto)",
5,인증,회원가입,이메일 회원가입,,,[1-1-1 회원가입],이메일 기반 회원가입 입력 화면,"이메일 입력 필드, 비밀번호 입력 필드, 비밀번호 확인 필드, 약관 동의 체크박스(전체동의, 필수약관, 선택약관), 마케팅 수신 동의 체크박스, 소셜 로그인 버튼(카카오/네이버/구글/LINE)","다음 버튼 클릭→유효성 검사→[1-1-2 유형 선택] 이동, 소셜 로그인 버튼 클릭→OAuth 인증→[1-1-2 유형 선택] 이동, 로그인 링크 클릭→[1-2-1 로그인] 이동",
6,,,유형 선택,,,[1-1-2 회원가입>유형 선택],사용자 유형 선택 화면,"유형 선택 카드(IPH-C 개인 크리에이터, IPH-A 에이전시, BP 브랜드 파트너), 각 유형별 설명 텍스트","IPH-C 선택→[1-1-3-1 IPH-C 정보입력] 이동, IPH-A 선택→[1-1-3-2 IPH-A 정보입력] 이동, BP 선택→[1-1-3-3 BP 정보입력] 이동",
7,,,필수 정보 입력,IPH-C,,[1-1-3-1 회원가입>IPH-C 정보입력],IPH-C 필수 정보 입력 화면,"작가 이름 입력 필드, 국적 드롭다운, 사업자 등록 여부 선택(개인/사업자)","가입 완료 버튼 클릭→유효성 검사→[1-1-4 가입 완료] 이동, 이전 버튼 클릭→[1-1-2 유형 선택] 이동",
8,,,,IPH-A,,[1-1-3-2 회원가입>IPH-A 정보입력],IPH-A 필수 정보 입력 화면,"에이전시명 입력 필드, 대표자명 입력 필드, 국적 드롭다운, 사업자등록번호 입력 필드","가입 완료 버튼 클릭→유효성 검사→[1-1-4 가입 완료] 이동, 이전 버튼 클릭→[1-1-2 유형 선택] 이동",
9,,,,BP,,[1-1-3-3 회원가입>BP 정보입력],BP 필수 정보 입력 화면,"회사 이름 입력 필드, 담당자 이름 입력 필드, 사업자 유형 선택, 회사 국적 드롭다운, 회사 업종 선택(브랜드/제조사, 유통/소매, 광고/마케팅 등 18개 항목)","다음 버튼 클릭→[1-1-3-4 BP 선택정보] 이동, 이전 버튼 클릭→[1-1-2 유형 선택] 이동",
10,,,,BP 선택정보,,[1-1-3-4 회원가입>BP 선택정보],BP 선택 정보 입력 화면,"주요 제품/서비스 입력 필드, 선호 IP 스타일 복수 선택","가입 완료 버튼 클릭→[1-1-4 가입 완료] 이동, 스킵 버튼 클릭→[1-1-4 가입 완료] 이동, 이전 버튼 클릭→[1-1-3-3 BP 정보입력] 이동",
11,,,가입 완료,,,[1-1-4 회원가입>완료],가입 완료 안내 화면,"가입 완료 메시지, 환영 문구, 사용자 유형별 다음 단계 안내",시작하기 버튼 클릭→[2-1 메인] 이동,
